Sno,T_data_1_1,T_data_1_2,T_data_1_3,T_data_2_1,T_data_2_2,T_data_2_3,T_data_3_1,T_data_3_2,T_data_3_3,T_data_4_1,T_data_4_2,T_data_4_3,T_data_5_1,T_data_5_2,T_data_5_3,H_data,AH_data
1,212,210,211,347,353,347,474,473,481,346,348,355,241,241,243,167.85,9.22
2,212,211,211,346,352,346,475,473,481,349,348,355,241,241,243,162.51,9.22
3,212,211,211,345,352,346,476,473,481,352,349,355,242,241,242,164.99,9.22
4,213,211,211,344,351,346,477,473,481,355,349,355,242,241,242,167.34,9.22
5,213,211,211,343,350,346,478,473,482,358,349,355,243,241,242,163.04,9.22
6,213,211,211,342,350,346,479,473,482,360,349,354,243,241,242,163.81,9.22
7,213,212,211,341,349,346,480,473,482,363,350,354,244,241,242,166.14,9.22
8,213,212,211,340,348,345,482,473,482,365,350,354,244,241,242,164.38,9.22
9,213,212,211,339,347,345,483,473,482,367,350,354,244,241,242,163.89,9.22
10,213,212,211,338,347,345,484,473,483,369,350,354,245,241,242,162.82,9.22
11,213,212,211,337,346,345,485,473,483,371,350,353,245,241,241,161.27,9.22
12,214,213,211,336,345,345,486,473,483,373,351,353,245,241,241,167.51,9.22
13,214,213,211,335,345,345,487,473,483,375,351,353,246,241,241,168.25,9.22
14,214,213,211,334,344,344,488,473,483,377,351,353,246,241,241,165.12,9.22
15,214,213,211,333,343,344,489,473,484,378,351,353,246,241,241,171.24,9.22
16,214,213,211,332,342,344,490,473,484,379,352,352,246,241,241,162.94,9.22
17,214,213,211,331,342,344,491,473,484,381,352,352,247,241,241,166.37,9.22
18,214,213,211,330,341,344,492,473,484,382,352,352,247,241,241,165.42,9.22
19,214,214,211,329,340,344,493,473,484,383,352,352,247,241,241,162.05,9.22
20,214,214,211,328,339,344,494,473,485,383,352,352,247,241,241,163.01,9.22
21,214,214,211,327,338,344,495,473,485,384,352,351,248,241,240,167.22,9.22
22,214,214,211,326,338,344,496,473,485,385,353,351,248,241,240,167.72,9.22
23,214,214,211,326,337,344,497,473,485,385,353,351,248,241,240,165.53,9.22
24,214,214,211,325,336,344,498,473,485,386,353,351,248,241,240,164.12,9.22
25,214,214,211,324,335,344,499,473,486,386,353,351,248,241,240,166.08,9.22
26,214,214,211,323,334,343,500,473,486,386,353,351,248,241,240,166.44,9.22
27,214,214,211,322,334,343,500,473,486,386,353,350,248,241,240,161.72,9.22
28,214,214,211,321,333,343,501,473,486,386,354,350,249,241,240,163.06,9.22
29,214,214,211,321,332,343,502,473,486,386,354,350,249,241,240,165.51,9.22
30,214,215,211,320,331,343,503,473,486,385,354,350,249,241,240,163.03,9.22
31,214,215,211,319,330,343,504,473,487,385,354,350,249,241,240,164.06,9.22
32,214,215,211,318,329,343,505,473,487,384,354,350,249,241,239,164.61,9.22
33,214,215,211,317,328,343,505,473,487,383,354,349,249,241,239,166.11,9.22
34,214,215,211,317,327,343,506,473,487,382,354,349,249,241,239,166.95,9.22
35,214,215,211,316,327,343,507,473,487,381,355,349,249,241,239,167.09,9.22
36,214,215,211,315,326,343,508,473,487,380,355,349,249,241,239,162.04,9.22
37,214,215,211,314,325,343,509,473,487,379,355,349,249,241,239,166.02,9.22
38,214,215,211,314,324,343,509,473,488,378,355,349,249,241,239,166.59,9.22
39,214,215,211,313,323,343,510,473,488,376,355,348,249,241,239,162.88,9.22
40,214,215,211,312,322,343,511,473,488,375,355,348,249,241,239,168.15,9.22
41,214,215,211,312,321,344,511,473,488,373,355,348,249,241,239,166.09,9.22
42,214,215,211,311,320,344,512,473,488,371,355,348,248,241,239,166.42,9.22
43,213,215,211,310,319,344,513,473,488,369,355,348,248,241,239,162.98,9.22
44,213,215,211,310,318,344,513,473,488,367,356,348,248,241,239,165.35,9.22
45,213,214,211,309,317,344,514,473,489,365,356,348,248,241,239,167.94,9.22
46,213,214,211,308,316,344,515,473,489,362,356,347,248,241,238,166.07,9.22
47,213,214,211,308,315,344,515,473,489,360,356,347,248,241,238,167.58,9.22
48,213,214,211,307,314,344,516,473,489,357,356,347,248,241,238,165.41,9.22
49,213,214,211,306,313,344,517,473,489,354,356,347,247,241,238,167.81,9.22
50,212,214,211,306,312,344,517,473,489,352,356,347,247,241,238,165.5,9.22
51,212,214,211,305,311,344,518,473,489,349,356,347,247,241,238,165.83,9.22
52,212,214,211,304,310,345,518,473,489,346,356,347,247,241,238,162.89,9.22
53,212,214,211,304,309,345,519,473,489,344,356,347,246,241,238,166.2,9.22
54,212,214,211,303,308,345,519,473,490,342,356,346,246,241,238,166.63,9.22
55,212,214,211,303,307,345,520,473,490,339,356,346,246,241,238,168.21,9.22
56,211,213,212,302,306,345,520,473,490,337,356,346,246,241,238,164.74,9.22
57,211,213,212,302,305,345,521,473,490,336,356,346,245,241,238,164.86,9.22
58,211,213,212,301,304,345,521,473,490,334,356,346,245,241,238,164.03,9.22
59,211,213,212,300,302,346,522,473,490,332,356,346,245,240,238,162.98,9.22
60,211,213,212,300,301,346,522,473,490,331,356,346,244,240,238,164.3,9.22
61,210,213,212,299,300,346,523,473,490,330,356,346,244,240,238,160.3,7.82
62,210,213,212,299,299,346,523,473,490,329,357,346,243,240,238,164.12,7.82
63,210,212,212,298,298,346,524,473,490,328,357,345,243,240,238,168.02,7.82
64,210,212,212,298,297,347,524,473,490,327,357,345,243,240,238,166.28,7.82
65,209,212,212,297,296,347,524,473,490,326,357,345,242,240,238,162.73,7.82
66,209,212,212,297,295,347,525,473,491,326,357,345,242,240,238,165.65,7.82
67,209,212,212,296,293,347,525,473,491,325,357,345,241,240,238,162.96,7.82
68,209,212,212,296,292,347,526,473,491,325,357,345,241,240,238,165.16,7.82
69,209,211,212,296,291,348,526,474,491,325,357,345,240,240,238,167.86,7.82
70,209,211,212,295,290,348,526,474,491,325,357,345,240,240,238,169.1,7.82
71,208,211,212,295,289,348,527,474,491,325,356,345,239,240,238,165.54,7.82
72,208,211,212,294,288,348,527,474,491,325,356,345,239,240,237,162.13,7.82
73,208,210,212,294,286,349,527,474,491,326,356,345,239,240,237,162.99,7.82
74,208,210,212,293,285,349,528,474,491,326,356,344,238,239,237,164.51,7.82
75,208,210,213,293,284,349,528,474,491,327,356,344,238,239,237,165.22,7.82
76,208,210,213,293,283,350,528,474,491,328,356,344,237,239,237,167.46,7.82
77,208,209,213,292,281,350,528,474,491,329,356,344,237,239,237,166.69,7.82
78,208,209,213,292,280,350,529,474,491,330,356,344,237,239,237,162.91,7.82
79,208,209,213,292,279,350,529,474,491,332,356,344,237,239,237,168.42,7.82
80,208,209,213,291,278,351,529,474,491,333,356,344,236,239,237,167.88,7.82
81,208,208,213,291,276,351,529,474,491,335,356,344,236,239,237,160.76,7.82
82,208,208,213,291,275,351,529,474,491,336,356,344,236,239,237,168.23,7.82
83,208,208,213,290,274,352,530,474,491,337,356,344,236,239,237,165.87,7.82
84,208,208,213,290,273,352,530,474,491,339,356,344,236,239,237,163.07,7.82
85,208,207,213,290,271,352,530,474,491,340,356,344,235,239,237,161.06,7.82
86,208,207,213,289,270,353,530,474,491,341,356,344,235,239,237,163.32,7.82
87,209,207,213,289,269,353,530,474,491,343,356,343,235,239,237,165.8,7.82
88,209,206,213,289,267,353,530,475,491,344,356,343,235,239,237,165.85,7.82
89,209,206,213,289,266,354,530,475,491,345,356,343,235,239,237,162.56,7.82
90,209,206,213,288,265,354,530,475,491,346,355,343,235,239,237,166.02,7.82
91,209,205,213,288,264,355,531,475,491,347,355,343,235,239,237,164.06,7.82
92,209,205,213,288,263,355,531,475,491,348,355,343,235,239,237,162.84,7.82
93,209,205,213,288,262,355,531,475,491,350,355,343,235,239,237,165.79,7.82
94,209,204,213,287,261,356,531,475,491,351,355,343,235,239,237,163.92,7.82
95,209,204,213,287,260,356,531,475,491,352,355,343,235,239,237,166.24,7.82
96,210,204,213,287,260,357,531,475,491,353,355,343,235,239,238,163.9,7.82
97,210,203,213,287,259,357,531,475,491,353,355,343,236,239,238,162.6,7.82
98,210,203,213,287,258,358,531,476,491,354,355,343,236,239,238,164.95,7.82
99,210,203,213,286,258,358,531,476,491,355,354,343,236,239,238,164.17,7.82
